Nom,Puissance (ch),Places,Catégorie,Consommation (l/100km),Boite à vitesse,Prix (€)
Audi A1,82,5,citadine,"5,7",manuelle,21500
Audi A2,75,5,citadine,"5,9",manuelle,4970
Audi A3,150,5,citadine,"6,4",manuelle,28630
Audi A4,240,5,citadine,"8,3",manuelle,34350
Audi A5,245,5,sportive,"7,1",automatique,43440
Audi A6,245,5,sportive,"7,8",automatique,49300
BMW Série1,80,5,citadine,"7,3",manuelle,24850
BMW Série3,75,5,citadine,"4,5",manuelle,41700
BMW X1,85,5,citadine,"7,1",manuelle,33950
BMW X3,110,5,suv,11,manuelle,45300
BMW X5,170,5,suv,13,automatique,66050
Citroen C3,110,5,citadine,"6,1",manuelle,15300
Citroen C4,75,5,citadine,"4,2",manuelle,20900
Citroen C5,96,5,citadine,"1,4",manuelle,26050
Citroen Berlingo,75,7,utilitaire,"4,1",manuelle,22600
Peugeot 208,55,5,citadine,"5,5",manuelle,16000
Peugeot 308,81,5,citadine,6,manuelle,25050
Peugeot 508,120,5,citadine,"7,8",manuelle,34581
Peugeot 2008,75,5,suv,"6,8",manuelle,22400
Peugeot 3008,96,5,suv,"7,1",automatique,43355
Renault Capture,66,5,citadine,"7,7",manuelle,21750
Renault Clio,48,5,citadine,"6,9",manuelle,15300
Renault kadjar,85,5,citadine,"6,7",manuelle,20991
Renault Megane,115,5,citadine,"6,1",manuelle,24700
Ferrari Roma,456,2,sportive,11,automatiques,198265
Koenigsegg Regera,1115,2,sportive,"15,6",automatique,2100000
Bugatti Chiron,1500,2,sportive,"23,5",automatique,3600000
 Polo,59,5,citadine,"6,4",manuelle,17260
Tesla model S,1100,5,électrique,0,automatique,89990
Dacia Duster,66,2,citadine,"7,65",manuelle,12490
